Date,Activity Type,Lodging Location,Start Time,Duration,Activity Name,Activity Notes,Activity Start Address,Book Ahead Required?
"Mon, Nov 16, ",Market,Kanazawa,11:15,1h15,Omicho Market,Omicho Market — snow crab season; go before 2pm,"50 Kamiomicho, Kanazawa, Ishikawa 920-0905, Japan",No
"Mon, Nov 16, ",Neighborhood,Kanazawa,13:30,1h45,Nagamachi samurai district,Nagamachi samurai district and Nomura-ke house garden,"1-chome-3-32 Nagamachi, Kanazawa, Ishikawa 920-0865, Japan",No
"Tue, Nov 17, ",Market,Gero,9:40,0h50,Miyagawa morning market,Miyagawa morning market (runs to noon),"Shimosannomachi, Takayama, Gifu 506-0841, Japan",No
"Tue, Nov 17, ",Neighborhood,Gero,10:40,2h20,Sanmachi Suji old town,Sanmachi Suji old town — sake breweries and Hida beef,"20 Kamisannomachi, Takayama, Gifu 506-0846, Japan",No
"Tue, Nov 17, ",Onsen/Ryokan,Gero,15:00,Overnight,Ryokan,Ryokan check-in — yukata / onsen / kaiseki dinner,"Yunoshima, Gero, Gifu 509-2207, Japan",Yes — book months ahead
"Tue, Nov 17, ",Sightseeing,Gero,14:15,0h45,Hida River riverside walk,Hida River riverside walk and free public foot baths,"Yunoshima, Gero, Gifu 509-2207, Japan",No
"Wed, Nov 18, ",Neighborhood,Tsumago,14:00,3h00,Tsumago post town,Tsumago post town — walk it after the day visitors leave,"2196-1 Azuma, Nagiso, Kiso District, Nagano 399-5302, Japan",No
"Wed, Nov 18, ",Onsen/Ryokan,Tsumago,15:30,Overnight,Minshuku,Minshuku check-in — shared bath and home-cooked dinner,"2196-1 Azuma, Nagiso, Kiso District, Nagano 399-5302, Japan",Yes — tiny inventory
"Thu, Nov 19, ",Hike,Osaka,8:30,4h00,Nakasendo trail,Nakasendo trail Magome to Tsumago — 5 mi / 700 ft over Magome Pass,"Magome, Nakatsugawa, Gifu 508-0502, Japan",No
"Thu, Nov 19, ",Food/Drink,Osaka,8:30,0h20,Gohei-mochi in Magome,Gohei-mochi in Magome before starting the walk,"Magome, Nakatsugawa, Gifu 508-0502, Japan",No
"Thu, Nov 19, ",Neighborhood,Osaka,18:00,2h30,Dotonbori — Glico sign,Dotonbori — Glico sign; takoyaki and okonomiyaki,"Dotonbori, Chuo Ward, Osaka 542-0071, Japan",No
"Fri, Nov 20, ",Castle,Osaka,9:15,2h30,Himeji Castle,Himeji Castle — go straight to the keep on arrival,"68 Honmachi, Himeji, Hyogo 670-0012, Japan",No
"Fri, Nov 20, ",Garden,Osaka,12:15,1h30,Koko-en Garden,Koko-en Garden — castle framed by maples,"68 Honmachi, Himeji, Hyogo 670-0012, Japan",No
"Fri, Nov 20, ",Food/Drink,Osaka,18:30,2h00,Shinsekai kushikatsu,Shinsekai kushikatsu — no double-dipping the sauce,"2 Chome-5 Ebisuhigashi, Naniwa Ward, Osaka 556-0002, Japan",No
"Sat, Nov 21, ",Temple/Shrine,Osaka,8:30,1h30,Todaiji Great Buddha Hall,Todaiji Great Buddha Hall,"406-1 Zoshicho, Nara 630-8587, Japan",No
"Sat, Nov 21, ",Temple/Shrine,Osaka,10:00,0h45,Nigatsudo,Nigatsudo — free hillside veranda over the city,"406-1 Zoshicho, Nara 630-8587, Japan",No
"Sat, Nov 21, ",Sightseeing,Osaka,10:45,1h00,Nara Park deer,Nara Park deer — crackers 200 yen; do not hold them overhead,"Zoshicho, Nara 630-8211, Japan",No
"Sat, Nov 21, ",Temple/Shrine,Osaka,12:15,1h30,Kasuga Taisha,Kasuga Taisha — stone lantern approach and primeval forest,"160 Kasuganocho, Nara 630-8212, Japan",No
"Sat, Nov 21, ",Neighborhood,Osaka,14:30,1h30,Naramachi,Naramachi old merchant quarter,"Nakanoshincho, Nara 630-8332, Japan",No
"Sun, Nov 22, ",Temple/Shrine,Koyasan,11:30,1h15,Danjo Garan and Konpon Daito pagoda,Danjo Garan and Konpon Daito pagoda,"152 Koyasan, Koya, Ito District, Wakayama 648-0211, Japan",No
"Sun, Nov 22, ",Temple/Shrine,Koyasan,13:00,1h15,Kongobuji and Banryutei rock garden,Kongobuji and Banryutei rock garden,"132 Koyasan, Koya, Ito District, Wakayama 648-0211, Japan",No
"Sun, Nov 22, ",Onsen/Ryokan,Koyasan,15:00,Overnight,Shukubo,Shukubo check-in and shojin ryori vegetarian dinner,"Koyasan, Koya, Ito District, Wakayama 648-0211, Japan",Yes — BOOK THIS FIRST
"Sun, Nov 22, ",Sightseeing,Koyasan,19:00,2h00,Okunoin cemetery at night,Okunoin cemetery after dark — guided night walk recommended,"Okunoin, Koyasan, Koya, Ito District, Wakayama 648-0211, Japan",Recommended — temple night tour
"Mon, Nov 23, ",Temple/Shrine,Kurashiki,6:00,0h45,Goma fire ritual,Goma fire ritual at the shukubo,"Koyasan, Koya, Ito District, Wakayama 648-0211, Japan",No
"Mon, Nov 23, ",Sightseeing,Kurashiki,7:30,1h15,Okunoin in daylight,Okunoin in daylight — a different place from the night version,"Okunoin, Koyasan, Koya, Ito District, Wakayama 648-0211, Japan",No
"Mon, Nov 23, ",Neighborhood,Kurashiki,13:30,1h30,Bikan historical quarter,Bikan historical quarter — canal and kura warehouses,"1 Chome-4 Central, Kurashiki, Okayama 710-0046, Japan",No
"Mon, Nov 23, ",Museum,Kurashiki,15:15,1h45,Ohara Museum of Art,Ohara Museum of Art — normally closed Mondays; VERIFY holiday opening,"1-chome-1-15 Chuo, Kurashiki, Okayama 710-8575, Japan",No — but verify it is open
"Mon, Nov 23, ",Sightseeing,Kurashiki,18:00,1h00,Bikan canal illuminated after dark,Bikan canal illuminated after dark,"1 Chome-4 Central, Kurashiki, Okayama 710-0046, Japan",No
"Tue, Nov 24, ",Sightseeing,Miyajima,10:15,1h00,A-Bomb Dome and Peace Memorial Park,A-Bomb Dome and Peace Memorial Park,"1-10 Otemachi, Naka Ward, Hiroshima 730-0051, Japan",No
"Tue, Nov 24, ",Museum,Miyajima,11:15,2h00,Hiroshima Peace Memorial Museum,Hiroshima Peace Memorial Museum — allow 2h; nothing demanding after,"1-2 Nakajimacho, Naka Ward, Hiroshima 730-0811, Japan",Recommended — online tickets skip the queue
"Tue, Nov 24, ",Food/Drink,Miyajima,13:30,1h00,Hiroshima-style okonomiyaki,Hiroshima-style okonomiyaki (layered with noodles),"Naka Ward, Hiroshima, Japan",No
"Tue, Nov 24, ",Sightseeing,Miyajima,18:00,1h00,Great torii lit-up,Great torii lit after dark once the day-trippers have gone,"1-1 Miyajimacho, Hatsukaichi, Hiroshima 739-0588, Japan",No
"Wed, Nov 25, ",Temple/Shrine,Miyajima,8:00,1h15,Itsukushima Shrine,Itsukushima Shrine — CHECK TIDE TABLE for high vs low water,"1-1 Miyajimacho, Hatsukaichi, Hiroshima 739-0588, Japan",No
"Wed, Nov 25, ",Temple/Shrine,Miyajima,9:30,1h15,Daisho-in,Daisho-in — sutra wheels and 88-lantern cave; badly under-visited,"210 Miyajimacho, Hatsukaichi, Hiroshima 739-0588, Japan",No
"Wed, Nov 25, ",Hike,Miyajima,11:00,4h00,Mt. Misen,"Mt. Misen — up the Daisho-in route, down through Momijidani (2.5 mi / 1750 ft)","210 Miyajimacho, Hatsukaichi, Hiroshima 739-0588, Japan",No
"Wed, Nov 25, ",Sightseeing,Miyajima,8:30,1h00,Momijidani Park,Momijidani Park maples at peak,"Miyajimacho, Hatsukaichi, Hiroshima 739-0588, Japan",No
"Thu, Nov 26, ",Sightseeing,Miyajima,,1h30,Itsukushima Shrine,Itsukushima Shrine at the OPPOSITE tide state from yesterday,"1-1 Miyajimacho, Hatsukaichi, Hiroshima 739-0588, Japan",No
"Thu, Nov 26, ",Garden,Miyajima,12:30,1h30,Shukkeien Garden Hiroshima,Shukkeien Garden Hiroshima (optional half-day off the island),"2-11 Kaminoboricho, Naka Ward, Hiroshima 730-0014, Japan",No
"Thu, Nov 26, ",Food/Drink,Miyajima,17:30,1h30,Omotesando shopping street,Grilled oysters and anago-meshi on Omotesando shopping street,"Miyajimacho, Hatsukaichi, Hiroshima 739-0588, Japan",No
"Fri, Nov 27, ",Temple/Shrine,Kyoto,15:30,2h30,Fushimi Inari Taisha at dusk,"Fushimi Inari Taisha at dusk — free, day crowds gone, never closes","68 Fukakusa Yabunouchicho, Fushimi Ward, Kyoto 612-0882, Japan",No
"Fri, Nov 27, ",Market,Kyoto,18:30,2h00,Nishiki Market,Nishiki Market and dinner in Pontocho,"Higashiuoyacho, Nakagyo Ward, Kyoto 604-8055, Japan",No
"Sat, Nov 28, ",Temple/Shrine,Kyoto,9:30,1h30,Jingoji,Jingoji — 350 steps up; kawarake-nage disc throwing over the gorge,"5 Umegahata Takaocho, Ukyo Ward, Kyoto 616-8292, Japan",No
"Sat, Nov 28, ",Temple/Shrine,Kyoto,11:30,1h00,Kozanji,Kozanji — Choju-Jinbutsu-Giga animal scrolls; oldest tea plantation,"8 Umegahata Toganoocho, Ukyo Ward, Kyoto 616-8295, Japan",No
"Sat, Nov 28, ",Temple/Shrine,Kyoto,13:00,0h45,Saimyoji,Saimyoji and the red bridge over the Kiyotaki river,"1 Umegahata Makinoocho, Ukyo Ward, Kyoto 616-8293, Japan",No
"Sat, Nov 28, ",Hike,Kyoto,14:00,2h00,Kiyotaki river path,Kiyotaki river path — 3 to 5 mi through the Takao valley,"Umegahata Takaocho, Ukyo Ward, Kyoto 616-8292, Japan",No
"Sun, Nov 29, ",Temple/Shrine,Kyoto,9:45,1h30,Byodoin and Phoenix Hall,Byodoin and Phoenix Hall — the building on the 10-yen coin,"Renge-116 Uji, Kyoto 611-0021, Japan",Recommended — Phoenix Hall interior is a separate timed ticket
"Sun, Nov 29, ",Temple/Shrine,Kyoto,11:30,0h30,Ujigami Shrine,Ujigami Shrine — oldest surviving shrine building in Japan,"59 Ujiyamada, Uji, Kyoto 611-0021, Japan",No
"Sun, Nov 29, ",Food/Drink,Kyoto,12:30,2h30,Uji riverside tea houses,Uji riverside tea houses — matcha and gyokuro,"Uji, Kyoto 611-0021, Japan",No
"Mon, Nov 30, ",Temple/Shrine,Kyoto,8:30,2h00,Tofukuji,Tofukuji — be at the gate for 8:30 opening; photography banned ON Tsutenkyo,"15-chome-778 Honmachi, Higashiyama Ward, Kyoto 605-0981, Japan",No
"Mon, Nov 30, ",Temple/Shrine,Kyoto,11:15,1h30,Kiyomizu-dera,Kiyomizu-dera — the wooden veranda on pillars,"1-chome-294 Kiyomizu, Higashiyama Ward, Kyoto 605-0862, Japan",No
"Mon, Nov 30, ",Neighborhood,Kyoto,12:45,1h15,Sannenzaka and Ninenzaka stone lanes,Sannenzaka and Ninenzaka stone lanes,"Kiyomizu, Higashiyama Ward, Kyoto 605-0862, Japan",No
"Mon, Nov 30, ",Temple/Shrine,Kyoto,14:30,1h30,Nanzenji and the Suirokaku aqueduct,Nanzenji and the Suirokaku brick aqueduct,"86 Nanzenji Fukuchicho, Sakyo Ward, Kyoto 606-8435, Japan",No
"Mon, Nov 30, ",Temple/Shrine,Kyoto,20:00,1h15,Eikando night illumination,Eikando night illumination — arrive 20:00 not at opening; queue is 1h+,"48 Eikandocho, Sakyo Ward, Kyoto 606-8445, Japan",No — cash at the gate; confirm this year's dates
"Tue, Dec 1, ",Sightseeing,Kyoto,7:30,0h45,Arashiyama bamboo grove,Arashiyama bamboo grove — be here by 07:30 or not at all,"Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto 616-8385, Japan",No
"Tue, Dec 1, ",Temple/Shrine,Kyoto,8:30,1h30,Tenryuji and the Sogenchi pond garden,Tenryuji and the Sogenchi pond garden,"68 Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto 616-8385, Japan",No
"Tue, Dec 1, ",Garden,Kyoto,10:15,1h15,Okochi Sanso villa,Okochi Sanso villa — ticket includes matcha and a sweet,"8 Sagaogurayama Tabuchiyamacho, Ukyo Ward, Kyoto 616-8394, Japan",No
"Tue, Dec 1, ",Temple/Shrine,Kyoto,12:00,1h30,Daihikaku Senkoji,Daihikaku Senkoji — steep climb above the Hozugawa gorge,"62 Arashiyama Nakaoshitacho, Nishikyo Ward, Kyoto 616-0007, Japan",No
"Tue, Dec 1, ",Sightseeing,Kyoto,14:00,0h30,Togetsukyo Bridge,Togetsukyo Bridge,"Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto 616-8385, Japan",No
"Wed, Dec 2, ",Hike,Kyoto,8:45,2h30,Daimonji-yama,Daimonji-yama — 2.5 mi / 1000 ft; finish inside the giant character,"2 Ginkakujicho, Sakyo Ward, Kyoto 606-8402, Japan",No
"Wed, Dec 2, ",Temple/Shrine,Kyoto,11:30,1h15,Ginkakuji Silver Pavilion ,Ginkakuji Silver Pavilion and the Kogetsudai sand cone,"2 Ginkakujicho, Sakyo Ward, Kyoto 606-8402, Japan",No
"Wed, Dec 2, ",Sightseeing,Kyoto,13:00,1h00,Philosopher's Path,Philosopher's Path along the canal,"Ginkakujicho, Sakyo Ward, Kyoto 606-8402, Japan",No
"Wed, Dec 2, ",Temple/Shrine,Kyoto,14:00,0h45,Honen-in,Honen-in — free; thatched gate and moss approach,"30 Shishigatani Goshonodancho, Sakyo Ward, Kyoto 606-8422, Japan",No
"Wed, Dec 2, ",Temple/Shrine,Kyoto,15:00,1h00,Shinnyo-do,Shinnyo-do — late-holding maples with almost no tour groups,"82 Jodoji Shinnyocho, Sakyo Ward, Kyoto 606-8414, Japan",No
"Thu, Dec 3, ",Temple/Shrine,Kyoto,9:45,1h30,Sanzenin,Sanzenin — moss garden studded with hidden jizo figures,"540 Oharaikoincho, Sakyo Ward, Kyoto 601-1242, Japan",No
"Thu, Dec 3, ",Temple/Shrine,Kyoto,11:30,1h00,Hosenin,Hosenin — framed-view garden with matcha; blood-stained ceiling,"187 Oharashorinincho, Sakyo Ward, Kyoto 601-1241, Japan",No
"Thu, Dec 3, ",Temple/Shrine,Kyoto,13:30,1h00,Jakko-in across the valley,Jakko-in across the valley — quieter still,"676 Ohara Kusaocho, Sakyo Ward, Kyoto 601-1248, Japan",No
"Fri, Dec 4, ",Garden,Tokyo,13:30,1h30,Koishikawa Korakuen,Koishikawa Korakuen — Tsutenkyo and Engetsukyo bridges,"1-chome-6-6 Koraku, Bunkyo City, Tokyo 112-0004, Japan",No
"Fri, Dec 4, ",Garden,Tokyo,18:00,1h30,Rikugien night illumination,Rikugien night illumination — 88 scenes from waka poetry,"6-chome-16-3 Honkomagome, Bunkyo City, Tokyo 113-0021, Japan",Yes — timed tickets sell out; buy online
"Sat, Dec 5, ",Temple/Shrine,Tokyo,9:00,1h15,Engakuji,Engakuji — maples among the latest-turning in Japan,"409 Yamanouchi, Kamakura, Kanagawa 247-0062, Japan",No
"Sat, Dec 5, ",Temple/Shrine,Tokyo,10:20,0h40,Meigetsu-in,Meigetsu-in — the circular window of enlightenment,"189 Yamanouchi, Kamakura, Kanagawa 247-0062, Japan",No
"Sat, Dec 5, ",Hike,Tokyo,11:00,2h30,Daibutsu Hiking Trail,Daibutsu Hiking Trail — 3 mi via Zeniarai Benten coin-washing grotto,"1402 Yamanouchi, Kamakura, Kanagawa 247-0062, Japan",No
"Sat, Dec 5, ",Temple/Shrine,Tokyo,13:45,0h45,Great Buddha at Kotoku-in,Great Buddha at Kotoku-in — open-air since a 1498 tsunami,"4-chome-2-28 Hase, Kamakura, Kanagawa 248-0016, Japan",No
"Sat, Dec 5, ",Temple/Shrine,Tokyo,14:45,1h30,Hasedera,"Hasedera — eleven-headed Kannon, bay view, evening light-up","3-chome-11-2 Hase, Kamakura, Kanagawa 248-0016, Japan",No
"Sat, Dec 5, ",Sightseeing,Tokyo,16:30,0h45,Enoden to Kamakurakokomae,Enoden to Kamakurakokomae level crossing on the coast,"Koshigoe, Kamakura, Kanagawa 248-0033, Japan",No
"Sun, Dec 6, ",Market,Tokyo,8:15,1h45,Tsukiji Outer Market,Tsukiji Outer Market — before 11am; tamagoyaki and uni,"4-chome-16 Tsukiji, Chuo City, Tokyo 104-0045, Japan",No
"Sun, Dec 6, ",Temple/Shrine,Tokyo,11:00,1h30,Meiji Jingu,Meiji Jingu — 100000 trees planted from scratch in the 1920s,"1-1 Yoyogikamizonocho, Shibuya, Tokyo 151-8557, Japan",No
"Sun, Dec 6, ",Sightseeing,Tokyo,13:00,1h00,Gaien ginkgo avenue,Gaien ginkgo avenue at peak gold — check access for redevelopment work,"2-1 Kitaaoyama, Minato City, Tokyo 107-0061, Japan",No
"Sun, Dec 6, ",Neighborhood,Tokyo,14:15,2h00,Ura-Harajuku backstreets,Omotesando architecture and Ura-Harajuku backstreets,"Jingumae, Shibuya City, Tokyo 150-0001, Japan",No
"Sun, Dec 6, ",Sightseeing,Tokyo,16:30,1h30,Shibuya scramble,Shibuya scramble crossing at dusk,"2 Dogenzaka, Shibuya City, Tokyo 150-0043, Japan",Recommended if doing Shibuya Sky
"Mon, Dec 7, ",Free/Buffer,Tokyo,9:00,Flexible,BUFFER DAY,BUFFER DAY — move anything weather or fatigue displaced,"Ueno, Taito City, Tokyo, Japan",No
"Mon, Dec 7, ",Neighborhood,Tokyo,9:30,2h30,Yanaka Ginza and Yanaka Cemetery,Yanaka Ginza and Yanaka Cemetery — walkable from the hotel,"3-chome-13-1 Yanaka, Taito City, Tokyo 110-0001, Japan",No
"Mon, Dec 7, ",Neighborhood,Tokyo,14:00,2h30,Nakameguro canal and Daikanyama T-Site,Nakameguro canal and Daikanyama T-Site,"1 Aobadai, Meguro City, Tokyo 153-0042, Japan",No
